id,title,subtitle,authors,language,genre,published_date,page_count
1,Útěky a návraty Bohumila Laušmana,osud českého politika,Jiří Šolc,cs,,2008,403.0
2,A nők tartják az égbolt felét,egy rendkívüli asszony rendkívüli élettörténete,,hu,,2005,
3,Wallis,The Novel,Anne Edwards,en,Historical | Historical Fiction | Fiction | Novels,1991,478.0
4,"Cheeseburgers, the Best of Bob Greene",,Bob Greene,en,Nonfiction | Writing | Journalism,1985,318.0
5,"We, the Nation",The Conservative Party and the Pursuit of Power,Andrew Davies,en,,1995,532.0
6,From Potter's Field,,Patricia Daniels Cornwell,en,Mystery | Fiction | Mystery | Crime | Thriller | Thriller | Mystery Thriller | Suspense | Mystery | Murder Mystery | Mystery | Detective | Adult | Audiobook,1995,340.0
7,Den lilla trumslagarflickan,,John Le Carré,sv,Fiction | Thriller | Spy Thriller | Espionage | Mystery | Thriller | Mystery Thriller | Suspense | Thriller | Spy Thriller | Mystery | Crime | Novels | European Literature | British Literature,1983,520.0
8,Till stoft och aska,,,sv,Mystery | Crime | Mystery | Fiction | European Literature | British Literature | Thriller | Thriller | Mystery Thriller | Mystery | Detective,2008,362.0
9,Högre än alla himlar,,Louise Boije af Gennäs,sv,European Literature | Swedish Literature | Fiction | Contemporary | Novels | Cultural | Sweden | Drama,2011,525.0
10,Deep Waters,,Barbara Nadel,en,Mystery | Mystery | Crime | Fiction,2002,441.0
11,Själakistan,,Ann Rosman,sv,Mystery | Crime | European Literature | Swedish Literature | Fiction | Adult | Mystery | Thriller,2010,415.0
12,Hotell Angleterre,roman,,sv,Historical | Historical Fiction,2015,554.0
13,Stalker,kriminalroman,,sv,Thriller | Mystery | Crime | Mystery | Fiction | Audiobook | Scandinavian Lite... | Nordic Noir | Thriller | Mystery Thriller | European Literature | Scandinavian Literature | Suspense | Cultural | Sweden,2015,615.0
14,En egen strand,,,sv,,2014,270.0
15,En rasande eld,thriller,,sv,Mystery | Fiction | Mystery | Crime | Spy Thriller | Espionage,2013,486.0
16,Sockerdöden,,,sv,Mystery | Crime | Thriller | Mystery | European Literature | Scandinavian Literature | Fiction,2011,453.0
17,Den femte Årstiden,,Mons Kallentoft,sv,Mystery | Crime | Fiction | Mystery | European Literature | Swedish Literature | Thriller | Scandinavian Lite... | Nordic Noir | Adult | Mystery | Murder Mystery | Cultural | Sweden | Thriller | Mystery Thriller,2012,
18,Ormbararen,,Unni Lindell,sv,Mystery | Crime | Thriller | Mystery | Fiction | European Literature | Scandinavian Literature | Mystery | Detective | Adult,2001,382.0
19,Medusa's Child,,John J. Nance,en,Fiction | Thriller | Aviation | Adventure | Thriller | Mystery Thriller | Science Fiction | Novels,1998,564.0
20,Foundling,,June Oldham,en,Science Fiction | Childrens | Science Fiction | Dystopia | Fiction | Young Adult,1995,215.0
21,Headwind,,John J. Nance,en,Fiction | Thriller | Aviation | Suspense | Mystery | Thriller | Mystery Thriller | Thriller | Legal Thriller | Novels | Adventure | Action,2001,455.0
22,The Quorum,,Kim Newman,en,Horror | Fantasy | Fiction | Science Fiction | Fantasy | Urban Fantasy,1994,311.0
23,Message from Málaga,,Helen MacInnes,en,,1973,352.0
24,Ice,,Ed McBain,en,Mystery | Mystery | Crime | Fiction | Mystery | Detective | Thriller | Thriller | Mystery Thriller | Emergency Services | Police | New York | Suspense | Adventure,1984,320.0
25,Daring Moves,,Linda Lael Miller,en,Romance | Romance | Contemporary Romance | Contemporary | Fiction | Adult | Holiday | Christmas | Category Romance | Harlequin,1996,248.0
26,Alchemy and Academe,,Anne McCaffrey,en,Fantasy | Anthologies | Short Stories | Science Fiction Fantasy | Fiction | Science Fiction | Anthologies | Collections | Esoterica | Alchemy | Fantasy | Magic,1987,271.0
27,Houses of Stone,,Barbara Michaels,en,Mystery | Gothic | Fiction | Romance | Suspense | Gothic | Gothic Romance | Romance | Romantic Suspense | Fantasy | Paranormal | Fantasy | Supernatural | Thriller | Mystery Thriller,1994,384.0
28,Nemesis,,Bill Napier,en,Thriller | Fiction | Adventure | Science Fiction | Mystery | Suspense | Thriller | Mystery Thriller,1999,472.0
29,Who Has Seen the Wind,,W. O. Mitchell,en,Fiction | Cultural | Canada | Classics | Literature | Literature | Canadian Literature | Young Adult | Coming Of Age | Historical | Historical Fiction | Young Adult | Novels | Academic | Read For School,1985,293.0
30,Midtown North,,Christopher Newman,en,,1991,10.0
31,ANNO DRACULA PB,,Newman K.,en,Horror | Fantasy | Paranormal | Vampires | Fiction | Historical | Historical Fiction | Science Fiction | Alternate History | Science Fiction | Steampunk | Fantasy | Paranormal | Historical | Mystery,1994,409.0
32,Vurt,,Jeff Noon,en,Science Fiction | Fiction | Science Fiction | Cyberpunk | Fantasy | Science Fiction | Dystopia | Speculative Fiction | Novels | Science Fiction Fantasy | Surreal | European Literature | British Literature,1994,344.0
33,To Die for,,Janet Neel,en,Mystery | European Literature | British Literature | Mystery | Crime,1998,240.0
34,Petrified,,Bárbara Nadel,en,Mystery | Mystery | Crime | Fiction | Cultural | Asia | Mystery | Murder Mystery,2004,352.0
35,Sand and Slingbacks,,Georgina Newbery,en,Romance,1999,372.0
36,Vanishing Point,,John Nichol,en,Fiction,1997,357.0
